year,country,continent,income_level,population,growth_rate,urban_percentage,life_expectancy,literacy_rate,gdp_per_capita
2005,South Korea,Asia,High Income,1296662513,0.28,91.3,81.8,57.9,63009.0
2006,South Korea,Asia,High Income,1339726682,0.78,66.8,69.8,74.6,32076.0
2007,South Korea,Asia,High Income,1344586645,0.72,70.8,76.9,76.1,57853.0
2008,South Korea,Asia,High Income,1283064008,0.04,43.8,80.5,65.8,2320.0
2009,South Korea,Asia,High Income,1286037971,0.06,44.5,83.9,78.1,74652.0
2010,South Korea,Asia,High Income,1381976422,0.78,61.2,67.8,79.7,11566.0
2011,South Korea,Asia,High Income,1478536337,1.33,83.9,67.9,96.7,66103.0
2012,South Korea,Asia,High Income,1429672862,0.93,37.9,72.0,74.8,18988.0
2013,South Korea,Asia,High Income,1268338135,-0.06,80.5,63.1,79.1,74948.0
2014,South Korea,Asia,High Income,1530197787,1.29,48.1,81.3,50.0,1906.0
2015,South Korea,Asia,High Income,1446550841,0.82,53.7,69.7,77.7,15747.0
2016,South Korea,Asia,High Income,1312081498,0.16,61.5,78.9,80.4,24140.0
2017,South Korea,Asia,High Income,1399571211,0.53,41.1,61.9,88.4,21598.0
2018,South Korea,Asia,High Income,1302681620,0.1,75.0,75.5,81.0,18697.0
2019,South Korea,Asia,High Income,1327299003,0.2,44.4,64.3,82.1,67917.0
2020,South Korea,Asia,High Income,1570272765,1.03,81.5,70.1,82.0,28662.0
2021,South Korea,Asia,High Income,1478666242,0.69,61.3,64.4,69.0,77124.0
2022,South Korea,Asia,High Income,1343062431,0.22,38.7,70.5,88.7,46781.0
2023,South Korea,Asia,High Income,1592413793,0.96,42.3,75.5,65.9,66827.0
2024,South Korea,Asia,High Income,1574423335,0.87,42.9,61.6,52.1,30027.0
2000,Spain,Europe,High Income,1151821936,0.73,59.5,81.1,54.8,39315.0
2001,Spain,Europe,High Income,1152456390,0.06,51.1,78.4,73.3,30383.0
2002,Spain,Europe,High Income,1162688616,0.47,59.9,79.6,93.7,76449.0
2003,Spain,Europe,High Income,1191584992,1.14,50.5,77.2,71.4,20746.0
2004,Spain,Europe,High Income,1209520957,1.23,32.5,82.5,72.6,51158.0
2005,Spain,Europe,High Income,1205843524,0.92,88.2,75.9,80.1,5799.0
2006,Spain,Europe,High Income,1199714941,0.68,39.8,78.4,75.1,54578.0
2007,Spain,Europe,High Income,1141448662,-0.13,35.5,77.9,53.5,6165.0
2008,Spain,Europe,High Income,1135392995,-0.18,92.2,78.4,67.3,24075.0
2009,Spain,Europe,High Income,1193368196,0.39,80.4,76.5,59.1,14342.0
2010,Spain,Europe,High Income,1148057869,-0.03,72.9,79.1,63.0,2165.0
2011,Spain,Europe,High Income,1144203865,-0.06,92.9,67.4,87.7,50161.0
2012,Spain,Europe,High Income,1215481030,0.45,43.4,63.0,80.1,62083.0
2013,Spain,Europe,High Income,1293214085,0.89,64.5,61.0,97.5,63998.0
2014,Spain,Europe,High Income,1200783992,0.3,93.7,75.0,78.5,59972.0
2015,Spain,Europe,High Income,1373428412,1.18,72.7,63.2,66.6,74283.0
2016,Spain,Europe,High Income,1185795674,0.18,54.2,70.8,71.5,49229.0
2017,Spain,Europe,High Income,1459706953,1.4,45.6,63.0,59.7,71011.0
2018,Spain,Europe,High Income,1352888365,0.9,48.6,80.4,92.2,67798.0
2019,Spain,Europe,High Income,1489456595,1.36,46.4,78.9,72.6,67439.0
2020,Spain,Europe,High Income,1416176838,1.04,80.5,76.4,58.7,43830.0
2021,Spain,Europe,High Income,1566138645,1.47,90.9,61.1,58.1,10972.0
2022,Spain,Europe,High Income,1444398637,1.03,83.2,65.3,74.8,67336.0
2023,Spain,Europe,High Income,1463193568,1.05,65.2,74.8,74.9,24155.0
2024,Spain,Europe,High Income,1381518632,0.76,74.8,81.8,81.2,61009.0
2000,Argentina,South America,Upper Middle Income,697502446,0.07,66.3,80.3,86.3,70575.0
2001,Argentina,South America,Upper Middle Income,699402676,0.27,42.6,82.0,82.2,25219.0
2002,Argentina,South America,Upper Middle Income,712395948,1.06,83.0,75.4,83.7,30333.0
2003,Argentina,South America,Upper Middle Income,712587714,0.72,64.1,81.2,91.2,66698.0
2004,Argentina,South America,Upper Middle Income,692459388,-0.18,78.7,79.0,83.2,60623.0
2005,Argentina,South America,Upper Middle Income,741516586,1.23,60.6,72.6,56.1,31137.0
2006,Argentina,South America,Upper Middle Income,735750499,0.89,80.7,65.4,56.8,53212.0
2007,Argentina,South America,Upper Middle Income,687949994,-0.2,41.6,60.7,58.2,14915.0
2008,Argentina,South America,Upper Middle Income,723532595,0.46,56.2,81.9,75.0,58011.0
2009,Argentina,South America,Upper Middle Income,696062043,-0.02,44.7,77.6,52.6,39185.0
2010,Argentina,South America,Upper Middle Income,756774439,0.82,69.1,60.6,65.8,51101.0
2011,Argentina,South America,Upper Middle Income,701602784,0.05,75.2,78.6,98.1,17182.0
2012,Argentina,South America,Upper Middle Income,805104151,1.2,63.8,69.3,56.0,58973.0
2013,Argentina,South America,Upper Middle Income,715945706,0.2,54.1,61.6,89.3,61444.0
2014,Argentina,South America,Upper Middle Income,807016684,1.05,49.5,64.3,81.2,39945.0
2015,Argentina,South America,Upper Middle Income,708360003,0.1,74.6,84.8,86.6,59329.0
2016,Argentina,South America,Upper Middle Income,873408238,1.42,43.2,74.1,98.0,13641.0
2017,Argentina,South America,Upper Middle Income,824725410,0.99,68.1,74.7,84.2,74405.0
2018,Argentina,South America,Upper Middle Income,853917586,1.13,33.6,81.3,61.1,30465.0
2019,Argentina,South America,Upper Middle Income,779242214,0.58,61.3,70.9,95.9,56629.0
2020,Argentina,South America,Upper Middle Income,829934129,0.87,33.2,82.6,94.6,62527.0
2021,Argentina,South America,Upper Middle Income,670469537,-0.19,33.7,65.6,56.4,32207.0
2022,Argentina,South America,Upper Middle Income,940607269,1.37,60.7,60.3,63.9,4045.0
2023,Argentina,South America,Upper Middle Income,675648155,-0.14,47.9,66.9,88.6,77999.0
2024,Argentina,South America,Upper Middle Income,773353448,0.43,57.9,81.1,63.1,12932.0
2000,South Africa,Africa,Upper Middle Income,154369335,-0.12,70.3,74.0,67.0,25558.0
2001,South Africa,Africa,Upper Middle Income,156086166,1.11,35.6,65.9,85.9,44091.0
2002,South Africa,Africa,Upper Middle Income,154423615,0.02,87.3,69.8,90.6,63123.0
2003,South Africa,Africa,Upper Middle Income,158393589,0.86,62.1,84.5,57.1,58150.0
2004,South Africa,Africa,Upper Middle Income,155142780,0.13,52.0,67.7,96.4,77405.0
2005,South Africa,Africa,Upper Middle Income,155228967,0.11,31.4,78.0,70.5,7563.0
2006,South Africa,Africa,Upper Middle Income,163500303,0.96,65.4,84.5,61.1,32616.0
2007,South Africa,Africa,Upper Middle Income,162345896,0.72,81.5,73.7,80.0,18479.0
2008,South Africa,Africa,Upper Middle Income,170360910,1.24,57.9,63.5,82.5,17679.0
2009,South Africa,Africa,Upper Middle Income,153895615,-0.03,86.0,71.5,86.7,23602.0
2010,South Africa,Africa,Upper Middle Income,172861457,1.14,37.3,68.9,97.9,63622.0
2011,South Africa,Africa,Upper Middle Income,165688049,0.65,52.1,81.8,76.7,60795.0
2012,South Africa,Africa,Upper Middle Income,175649158,1.08,31.2,63.2,82.3,13349.0
2013,South Africa,Africa,Upper Middle Income,159138740,0.23,91.5,74.0,86.8,44859.0
2014,South Africa,Africa,Upper Middle Income,171137197,0.74,36.1,68.6,63.8,31563.0
2015,South Africa,Africa,Upper Middle Income,183447615,1.16,54.2,71.3,69.5,7926.0
2016,South Africa,Africa,Upper Middle Income,168524084,0.55,42.7,64.7,54.6,28855.0
2017,South Africa,Africa,Upper Middle Income,185538395,1.09,48.0,67.8,81.5,16069.0
2018,South Africa,Africa,Upper Middle Income,195635121,1.32,63.8,71.2,77.3,13700.0
2019,South Africa,Africa,Upper Middle Income,181060031,0.84,53.6,82.4,58.3,40811.0
2020,South Africa,Africa,Upper Middle Income,181642917,0.82,32.2,69.1,85.9,65720.0
2021,South Africa,Africa,Upper Middle Income,165509914,0.33,81.9,84.2,92.0,9853.0
2022,South Africa,Africa,Upper Middle Income,194568741,1.06,50.8,84.7,73.8,10233.0
2023,South Africa,Africa,Upper Middle Income,195522845,1.03,51.0,84.9,98.0,52663.0
2024,South Africa,Africa,Upper Middle Income,155138255,0.02,74.6,62.3,51.4,65925.0
2000,Egypt,Africa,Lower Middle Income,910882073,-0.22,77.5,64.7,92.1,65616.0
2001,Egypt,Africa,Lower Middle Income,923568639,1.39,76.2,67.9,73.1,65820.0
2002,Egypt,Africa,Lower Middle Income,931168513,1.11,53.3,72.4,90.6,27149.0
2003,Egypt,Africa,Lower Middle Income,913841053,0.11,76.3,80.6,54.9,19570.0
2004,Egypt,Africa,Lower Middle Income,910769200,-0.0,52.6,71.3,86.7,52266.0
2005,Egypt,Africa,Lower Middle Income,989682030,1.67,52.9,81.0,73.1,78339.0
2006,Egypt,Africa,Lower Middle Income,1008991228,1.72,38.2,76.9,65.9,55063.0
2007,Egypt,Africa,Lower Middle Income,894667820,-0.26,41.4,81.4,61.1,67045.0
2008,Egypt,Africa,Lower Middle Income,946262339,0.48,71.8,77.4,75.1,24772.0
2009,Egypt,Africa,Lower Middle Income,931102730,0.24,32.2,67.6,82.0,75095.0
2010,Egypt,Africa,Lower Middle Income,1171616789,2.55,79.8,79.7,82.6,21193.0
2011,Egypt,Africa,Lower Middle Income,1217818249,2.68,73.6,74.0,55.4,36041.0
2012,Egypt,Africa,Lower Middle Income,1040054534,1.11,86.2,73.7,68.6,78156.0
2013,Egypt,Africa,Lower Middle Income,897652553,-0.11,57.5,61.1,86.3,73487.0
2014,Egypt,Africa,Lower Middle Income,974058028,0.48,85.8,67.3,94.6,60440.0
2015,Egypt,Africa,Lower Middle Income,1284370090,2.32,31.2,84.1,85.6,24728.0
2016,Egypt,Africa,Lower Middle Income,1331855108,2.4,48.3,81.8,55.5,56443.0
2017,Egypt,Africa,Lower Middle Income,1152277973,1.39,36.3,66.0,50.6,37767.0
2018,Egypt,Africa,Lower Middle Income,1006198776,0.55,68.9,67.4,64.7,59584.0
2019,Egypt,Africa,Lower Middle Income,855190112,-0.33,88.7,81.3,82.7,47661.0
2020,Egypt,Africa,Lower Middle Income,1528837241,2.62,42.0,62.0,61.7,63669.0
2021,Egypt,Africa,Lower Middle Income,841129101,-0.38,67.9,84.9,91.9,41955.0
2022,Egypt,Africa,Lower Middle Income,856909426,-0.28,84.0,75.0,55.6,7962.0
2023,Egypt,Africa,Lower Middle Income,1674928490,2.68,73.5,80.7,93.1,45956.0
2024,Egypt,Africa,Lower Middle Income,1245165296,1.31,58.0,67.9,71.3,62023.0
2000,Nigeria,Africa,Lower Middle Income,447757800,0.69,40.7,64.3,96.5,35897.0
2001,Nigeria,Africa,Lower Middle Income,457880743,2.26,71.6,76.9,56.5,19118.0
2002,Nigeria,Africa,Lower Middle Income,468166782,2.25,93.1,66.6,63.3,38095.0
2003,Nigeria,Africa,Lower Middle Income,488471471,2.94,47.5,70.2,93.7,732.0
2004,Nigeria,Africa,Lower Middle Income,441330309,-0.36,69.3,82.7,61.7,37837.0
2005,Nigeria,Africa,Lower Middle Income,472385868,1.08,60.7,75.6,73.0,36074.0
2006,Nigeria,Africa,Lower Middle Income,479839867,1.16,68.4,73.4,91.9,4435.0
2007,Nigeria,Africa,Lower Middle Income,529219610,2.42,84.9,67.1,72.7,35364.0
2008,Nigeria,Africa,Lower Middle Income,457330909,0.26,55.8,61.1,63.6,65426.0
2009,Nigeria,Africa,Lower Middle Income,468145552,0.5,83.2,73.3,93.1,46195.0
2010,Nigeria,Africa,Lower Middle Income,430332282,-0.4,73.9,61.1,72.1,74389.0
2011,Nigeria,Africa,Lower Middle Income,451625192,0.08,55.3,78.2,93.2,53840.0
2012,Nigeria,Africa,Lower Middle Income,469931881,0.4,73.8,67.4,85.2,76346.0
2013,Nigeria,Africa,Lower Middle Income,581061636,2.02,86.1,60.1,85.2,66452.0
2014,Nigeria,Africa,Lower Middle Income,425828332,-0.36,86.7,66.4,82.6,64128.0
2015,Nigeria,Africa,Lower Middle Income,586808525,1.82,36.0,74.9,76.9,72076.0
2016,Nigeria,Africa,Lower Middle Income,517992737,0.91,50.9,78.7,70.2,51865.0
2017,Nigeria,Africa,Lower Middle Income,602616024,1.76,87.7,75.0,74.6,11540.0
2018,Nigeria,Africa,Lower Middle Income,440169130,-0.09,40.0,64.3,81.3,59408.0
2019,Nigeria,Africa,Lower Middle Income,578228010,1.35,83.9,84.8,90.2,55743.0
2020,Nigeria,Africa,Lower Middle Income,587076035,1.36,59.2,62.1,69.6,72856.0
2021,Nigeria,Africa,Lower Middle Income,725996327,2.33,44.0,71.7,90.0,5857.0
2022,Nigeria,Africa,Lower Middle Income,540094188,0.86,85.4,70.1,53.8,43631.0
2023,Nigeria,Africa,Lower Middle Income,792977355,2.52,68.4,65.7,68.8,36285.0
2024,Nigeria,Africa,Lower Middle Income,644235746,1.53,79.4,62.5,93.6,1479.0
2000,Kenya,Africa,Lower Middle Income,444110264,-0.4,55.5,73.1,75.1,13667.0
2001,Kenya,Africa,Lower Middle Income,451927012,1.76,32.9,79.0,96.4,27512.0
2002,Kenya,Africa,Lower Middle Income,455825206,1.31,54.6,60.2,68.9,63442.0
2003,Kenya,Africa,Lower Middle Income,465577399,1.59,36.6,81.2,76.0,67417.0
2004,Kenya,Africa,Lower Middle Income,471934384,1.53,66.4,62.6,58.2,77776.0
2005,Kenya,Africa,Lower Middle Income,450805347,0.3,93.5,73.3,56.7,8395.0
2006,Kenya,Africa,Lower Middle Income,450301942,0.23,90.2,70.4,69.4,25400.0
2007,Kenya,Africa,Lower Middle Income,444567967,0.01,61.7,63.3,90.9,29947.0
2008,Kenya,Africa,Lower Middle Income,473785967,0.81,60.8,71.1,98.7,43858.0
2009,Kenya,Africa,Lower Middle Income,436522500,-0.19,69.4,63.8,51.5,77674.0
2010,Kenya,Africa,Lower Middle Income,552476267,2.21,93.7,71.9,76.1,13883.0
2011,Kenya,Africa,Lower Middle Income,462228550,0.36,84.5,68.9,90.5,56867.0
2012,Kenya,Africa,Lower Middle Income,450553134,0.12,63.0,76.9,61.5,66540.0
2013,Kenya,Africa,Lower Middle Income,532559600,1.41,40.7,74.6,99.0,12466.0
2014,Kenya,Africa,Lower Middle Income,615509070,2.36,43.5,79.6,86.0,24389.0
2015,Kenya,Africa,Lower Middle Income,488736628,0.64,81.5,71.5,85.8,12265.0
2016,Kenya,Africa,Lower Middle Income,657634603,2.48,76.2,82.7,56.5,47645.0
2017,Kenya,Africa,Lower Middle Income,581380117,1.6,53.0,71.5,51.9,59796.0
2018,Kenya,Africa,Lower Middle Income,572688331,1.42,33.8,77.0,72.9,3240.0
2019,Kenya,Africa,Lower Middle Income,763610453,2.89,91.7,72.8,54.6,60492.0
2020,Kenya,Africa,Lower Middle Income,566198088,1.22,49.7,72.3,75.6,45236.0
2021,Kenya,Africa,Lower Middle Income,552379417,1.04,69.4,83.0,67.8,58194.0
2022,Kenya,Africa,Lower Middle Income,786285758,2.63,59.6,71.1,79.5,47517.0
2023,Kenya,Africa,Lower Middle Income,753150934,2.32,61.0,84.9,52.9,752.0
2024,Kenya,Africa,Lower Middle Income,671991094,1.74,49.4,66.0,65.3,20856.0
